S118,moth,fly,1,0,1
S118,spider,gopher,1,0,1
S118,chipmunk,worm,1,0,1
S118,ant,wasp,1,0,0
S118,squirrel,lion,1,0,1
S118,tiger,alligator,1,0,1
S118,rhinoceros,elephant,1,0,1
S118,penguin,ostrich,1,0,1
S118,pig,cow,1,0,1
S118,pig,gopher,1,0,1
S118,moth,robin,1,0,1
S118,ant,elephant,1,0,1
S118,duck,chicken,1,0,1
S118,sparrow,dolphin,1,0,1
S118,beetle,sugarglider,1,0,1
S118,robin,ostrich,1,0,1
S118,penguin,polarbear,1,1,1
S118,elephant,lion,1,0,1
S118,robin,bluebird,1,1,1
S118,shark,rhinoceros,1,0,1
S118,pig,squirrel,1,0,1
S118,robin,crow,0,1,0
S118,fish,worm,1,0,1
S118,spider,bee,1,0,1
S118,cricket,grasshopper,1,0,1
S118,monkey,gopher,1,0,1
S118,spider,ant,1,0,1
S118,monkey,sugarglider,1,0,1
S118,elephant,penguin,1,0,1
S118,squirrel,ostrich,1,0,1
S118,beetle,butterfly,1,0,1
S118,butterfly,grizzlybear,1,0,1
S118,chipmunk,squirrel,1,1,1
S118,grizzlybear,brownbear,1,0,1
S118,elephant,dog,1,0,1
S118,polarbear,brownbear,1,0,1
S118,gorilla,monkey,1,0,1
S118,polarbear,ostrich,0,1,0
S118,horse,cow,1,1,1
S118,beetle,ant,1,0,1
S118,tiger,crow,1,0,1
S118,crow,bluebird,1,1,1
S118,dog,cat,1,1,1
S118,polarbear,tiger,1,0,1
S118,squirrel,gopher,1,0,1
S118,duck,horse,1,0,1
S118,shark,fish,1,0,1
S118,turtle,gorilla,1,0,1
S118,cricket,fly,1,0,1
S118,donkey,cow,1,0,1
S118,panther,rhinoceros,1,0,1
S118,bee,wasp,1,0,1
S118,ostrich,cat,1,0,1
S118,beetle,worm,1,0,1
S118,shark,crocodile,1,0,1
S118,sparrow,crow,1,0,1
S118,crocodile,alligator,1,0,1
S118,rhinoceros,tiger,1,0,1
S118,gopher,donkey,1,0,1
S118,spider,worm,1,0,1
S118,monkey,dolphin,1,0,1
S118,turtle,frog,1,0,1
S118,panther,worm,1,0,1
S118,shark,dolphin,1,1,1
S118,tiger,lion,1,0,1
S118,horse,dog,1,0,0
S118,penguin,worm,1,0,1
S118,elephant,ostrich,1,0,1
S118,pig,chipmunk,1,1,1
S118,horse,cat,1,0,1
S118,beetle,fly,1,0,1
S118,turtle,shark,1,0,1
S118,frog,fly,1,0,1
