S101,peacock,zebra,1,1,1
S101,swan,horse,1,1,1
S101,bunny,hare,1,1,1
S101,fish,bird,1,1,1
S101,chicken,fox,1,1,1
S101,chicken,rooster,1,1,1
S101,sunconure,lovebird,1,1,1
S101,polarbear,grizzlybear,1,1,1
S101,pheasant,rhinoceros,1,1,1
S101,frog,fox,1,1,1
S101,jaguar,elephant,1,1,1
S101,zebra,hippopotamus,1,1,1
S101,swan,bee,1,1,1
S101,antelope,grizzlybear,1,1,0
S101,cat,cheetah,1,1,1
S101,jaguar,monkey,1,1,0
S101,lion,bird,0,1,0
S101,turkey,tortoise,1,1,1
S101,ant,mouse,1,1,1
S101,cat,lovebird,0,1,1
S101,lion,dog,0,1,0
S101,bluerussian,persian,1,1,1
S101,shark,dolphin,1,1,0
S101,llama,ant,1,1,1
S101,cheetah,dog,1,0,0
S101,horse,jaguar,1,1,1
S101,elephant,hyena,1,1,0
S101,pigeon,chicken,0,1,0
S101,grasshopper,beetle,1,1,1
S101,beetle,bee,1,1,1
S101,cat,lion,1,0,0
S101,antelope,rhinoceros,1,1,1
S101,ant,hare,1,1,1
S101,giraffe,robin,1,1,1
S101,parrot,hyena,1,1,1
S101,sparrow,turkey,1,1,1
S101,grizzlybear,parrot,0,1,0
S101,snake,mouse,1,1,1
S101,cat,bird,0,1,0
S101,rooster,whale,1,1,1
S101,antelope,mouse,1,1,0
S101,sparrow,fox,1,1,1
S101,pufferfish,humunukuapua,1,1,1
S101,hippopotamus,elephant,1,1,1
S101,lion,elephant,1,1,1
S101,pig,warthog,0,1,0
S101,shark,snail,1,1,1
S101,hippopotamus,monkey,1,1,1
S101,peacock,pig,1,1,1
S101,persian,humunukuapua,1,1,1
S101,dolphin,whale,0,1,0
S101,bird,dog,1,0,1
S101,llama,dolphin,1,1,1
S101,poodle,bluerussian,1,1,1
S101,swan,goose,1,1,1
S101,warthog,leopard,1,1,1
S101,poodle,terrier,1,1,1
S101,cat,germanshepherd,1,1,1
S101,tortoise,wolf,1,1,1
S101,germanshepherd,terrier,1,1,1
S101,antelope,shark,1,1,1
S101,cat,dog,1,1,1
S101,duck,goose,1,1,1
S101,guineapig,wolf,1,1,1
S101,antelope,fish,1,1,1
S101,lion,hyena,1,1,1
S101,pheasant,quail,1,1,1
S101,dolphin,fox,1,1,1
S101,frog,grasshopper,1,1,1
S101,hippopotamus,hyena,1,1,0
S101,antelope,elephant,1,1,1
S101,polarbear,warthog,1,1,1
S101,snake,monkey,0,1,0
S101,parrot,lovebird,1,1,1
S101,pufferfish,robin,1,1,1
S101,pigeon,guineapig,1,1,1
S101,zebra,warthog,1,1,1
S101,snake,leopard,1,1,1
S101,polarbear,snake,1,1,1
S101,lion,cheetah,1,1,1
S101,snake,quail,1,1,1
S101,giraffe,elephant,0,1,1
S101,duck,sunconure,1,1,1
S101,slug,snail,1,1,1
S101,snake,jaguar,1,1,1
S101,slug,dog,1,1,1
S101,shark,monkey,1,1,1
S101,bunny,goose,1,1,1
