method,p,a,b,cutoff,hit,fa,cost
zibb,p3,a05,b075,0.0,385,10485,10493
zibb,p3,a05,b075,0.05,385,10485,10493
zibb,p3,a05,b075,0.1,382,10480,10491
zibb,p3,a05,b075,0.15,357,9577,9613
zibb,p3,a05,b075,0.2,332,7121,7182
zibb,p3,a05,b075,0.25,304,4813,4902
zibb,p3,a05,b075,0.3,285,2407,2515
zibb,p3,a05,b075,0.35,268,2390,2515
zibb,p3,a05,b075,0.4,249,2367,2511
zibb,p3,a05,b075,0.45,215,125,303
zibb,p3,a05,b075,0.5,199,87,281
zibb,p3,a05,b075,0.55,181,81,293
zibb,p3,a05,b075,0.6,180,81,294
zibb,p3,a05,b075,0.65,170,67,290
zibb,p3,a05,b075,0.7,166,67,294
zibb,p3,a05,b075,0.75,164,65,294
zibb,p3,a05,b075,0.8,162,65,296
zibb,p3,a05,b075,0.85,152,42,283
zibb,p3,a05,b075,0.9,127,12,278
zibb,p3,a05,b075,0.95,38,0,355
zibb,p3,a05,b075,1.0,0,0,393
zibb,p3,a05,b1,0.0,385,10485,10493
zibb,p3,a05,b1,0.05,385,10485,10493
zibb,p3,a05,b1,0.1,385,10485,10493
zibb,p3,a05,b1,0.15,375,10344,10362
zibb,p3,a05,b1,0.2,357,9578,9614
zibb,p3,a05,b1,0.25,332,7124,7185
zibb,p3,a05,b1,0.3,306,4818,4905
zibb,p3,a05,b1,0.35,283,4792,4902
zibb,p3,a05,b1,0.4,254,2375,2514
zibb,p3,a05,b1,0.45,225,2338,2506
zibb,p3,a05,b1,0.5,211,128,310
zibb,p3,a05,b1,0.55,204,93,282
zibb,p3,a05,b1,0.6,194,88,287
zibb,p3,a05,b1,0.65,190,87,290
zibb,p3,a05,b1,0.7,189,81,285
zibb,p3,a05,b1,0.75,189,81,285
zibb,p3,a05,b1,0.8,187,81,287
zibb,p3,a05,b1,0.85,187,81,287
zibb,p3,a05,b1,0.9,151,17,259
zibb,p3,a05,b1,0.95,45,0,348
zibb,p3,a05,b1,1.0,0,0,393
zibb,p3,a05,b2,0.0,385,10485,10493
zibb,p3,a05,b2,0.05,385,10485,10493
zibb,p3,a05,b2,0.1,385,10485,10493
zibb,p3,a05,b2,0.15,385,10485,10493
zibb,p3,a05,b2,0.2,385,10485,10493
zibb,p3,a05,b2,0.25,382,10457,10468
zibb,p3,a05,b2,0.3,373,10108,10128
zibb,p3,a05,b2,0.35,360,8647,8680
zibb,p3,a05,b2,0.4,331,7157,7219
zibb,p3,a05,b2,0.45,313,7099,7179
zibb,p3,a05,b2,0.5,310,7099,7182
zibb,p3,a05,b2,0.55,310,7099,7182
zibb,p3,a05,b2,0.6,310,7099,7182
zibb,p3,a05,b2,0.65,310,7099,7182
zibb,p3,a05,b2,0.7,303,4915,5005
zibb,p3,a05,b2,0.75,303,4915,5005
zibb,p3,a05,b2,0.8,303,4915,5005
zibb,p3,a05,b2,0.85,303,4915,5005
zibb,p3,a05,b2,0.9,293,4867,4967
zibb,p3,a05,b2,0.95,145,53,301
zibb,p3,a05,b2,1.0,0,0,393
zibb,p3,a05,b3,0.0,385,10485,10493
zibb,p3,a05,b3,0.05,385,10485,10493
zibb,p3,a05,b3,0.1,385,10485,10493
zibb,p3,a05,b3,0.15,385,10485,10493
zibb,p3,a05,b3,0.2,385,10485,10493
zibb,p3,a05,b3,0.25,385,10485,10493
zibb,p3,a05,b3,0.3,383,10480,10490
zibb,p3,a05,b3,0.35,380,10350,10363
zibb,p3,a05,b3,0.4,368,9603,9628
zibb,p3,a05,b3,0.45,351,8639,8681
zibb,p3,a05,b3,0.5,344,8629,8678
zibb,p3,a05,b3,0.55,344,8629,8678
zibb,p3,a05,b3,0.6,344,8629,8678
zibb,p3,a05,b3,0.65,344,8629,8678
zibb,p3,a05,b3,0.7,344,8629,8678
zibb,p3,a05,b3,0.75,337,6447,6503
zibb,p3,a05,b3,0.8,337,6447,6503
zibb,p3,a05,b3,0.85,337,6447,6503
zibb,p3,a05,b3,0.9,337,6447,6503
zibb,p3,a05,b3,0.95,240,1607,1760
zibb,p3,a05,b3,1.0,0,0,393
zibb,p3,a075,b075,0.0,385,10485,10493
zibb,p3,a075,b075,0.05,385,10485,10493
zibb,p3,a075,b075,0.1,381,10457,10469
zibb,p3,a075,b075,0.15,357,9577,9613
zibb,p3,a075,b075,0.2,331,7124,7186
zibb,p3,a075,b075,0.25,304,4820,4909
zibb,p3,a075,b075,0.3,283,2411,2521
zibb,p3,a075,b075,0.35,248,2367,2512
zibb,p3,a075,b075,0.4,222,121,292
zibb,p3,a075,b075,0.45,212,121,302
zibb,p3,a075,b075,0.5,191,75,277
zibb,p3,a075,b075,0.55,172,68,289
zibb,p3,a075,b075,0.6,152,46,287
zibb,p3,a075,b075,0.65,149,46,290
zibb,p3,a075,b075,0.7,146,45,292
zibb,p3,a075,b075,0.75,146,45,292
zibb,p3,a075,b075,0.8,131,23,285
zibb,p3,a075,b075,0.85,110,3,286
zibb,p3,a075,b075,0.9,88,0,305
zibb,p3,a075,b075,0.95,0,0,393
zibb,p3,a075,b075,1.0,0,0,393
zibb,p3,a075,b1,0.0,385,10485,10493
zibb,p3,a075,b1,0.05,385,10485,10493
zibb,p3,a075,b1,0.1,385,10485,10493
zibb,p3,a075,b1,0.15,375,10344,10362
zibb,p3,a075,b1,0.2,346,8607,8654
zibb,p3,a075,b1,0.25,329,7124,7188
zibb,p3,a075,b1,0.3,293,4812,4912
zibb,p3,a075,b1,0.35,271,2398,2520
zibb,p3,a075,b1,0.4,248,2369,2514
zibb,p3,a075,b1,0.45,213,127,307
zibb,p3,a075,b1,0.5,201,126,318
zibb,p3,a075,b1,0.55,176,76,293
zibb,p3,a075,b1,0.6,175,76,294
zibb,p3,a075,b1,0.65,165,56,284
zibb,p3,a075,b1,0.7,160,56,289
zibb,p3,a075,b1,0.75,159,54,288
zibb,p3,a075,b1,0.8,145,32,280
zibb,p3,a075,b1,0.85,144,32,281
zibb,p3,a075,b1,0.9,95,3,301
zibb,p3,a075,b1,0.95,5,0,388
zibb,p3,a075,b1,1.0,0,0,393
zibb,p3,a075,b2,0.0,385,10485,10493
zibb,p3,a075,b2,0.05,385,10485,10493
zibb,p3,a075,b2,0.1,385,10485,10493
zibb,p3,a075,b2,0.15,385,10485,10493
zibb,p3,a075,b2,0.2,385,10485,10493
zibb,p3,a075,b2,0.25,380,10350,10363
zibb,p3,a075,b2,0.3,369,9602,9626
zibb,p3,a075,b2,0.35,360,8645,8678
zibb,p3,a075,b2,0.4,330,7155,7218
zibb,p3,a075,b2,0.45,304,5026,5115
zibb,p3,a075,b2,0.5,296,5015,5112
zibb,p3,a075,b2,0.55,295,5015,5113
zibb,p3,a075,b2,0.6,295,5015,5113
zibb,p3,a075,b2,0.65,288,2813,2918
zibb,p3,a075,b2,0.7,288,2813,2918
zibb,p3,a075,b2,0.75,288,2813,2918
zibb,p3,a075,b2,0.8,288,2813,2918
zibb,p3,a075,b2,0.85,288,2813,2918
zibb,p3,a075,b2,0.9,243,344,494
zibb,p3,a075,b2,0.95,19,0,374
zibb,p3,a075,b2,1.0,0,0,393
zibb,p3,a075,b3,0.0,385,10485,10493
zibb,p3,a075,b3,0.05,385,10485,10493
zibb,p3,a075,b3,0.1,385,10485,10493
zibb,p3,a075,b3,0.15,385,10485,10493
zibb,p3,a075,b3,0.2,385,10485,10493
zibb,p3,a075,b3,0.25,385,10485,10493
zibb,p3,a075,b3,0.3,383,10480,10490
zibb,p3,a075,b3,0.35,380,10350,10363
zibb,p3,a075,b3,0.4,367,9603,9629
zibb,p3,a075,b3,0.45,350,8639,8682
zibb,p3,a075,b3,0.5,341,8622,8674
zibb,p3,a075,b3,0.55,341,8622,8674
zibb,p3,a075,b3,0.6,341,8622,8674
zibb,p3,a075,b3,0.65,341,8622,8674
zibb,p3,a075,b3,0.7,341,8622,8674
zibb,p3,a075,b3,0.75,334,6440,6499
zibb,p3,a075,b3,0.8,334,6440,6499
zibb,p3,a075,b3,0.85,334,6440,6499
zibb,p3,a075,b3,0.9,324,6390,6459
zibb,p3,a075,b3,0.95,52,0,341
zibb,p3,a075,b3,1.0,0,0,393
zibb,p3,a1,b075,0.0,385,10485,10493
zibb,p3,a1,b075,0.05,385,10485,10493
zibb,p3,a1,b075,0.1,381,10457,10469
zibb,p3,a1,b075,0.15,358,9579,9614
zibb,p3,a1,b075,0.2,330,7128,7191
zibb,p3,a1,b075,0.25,306,4822,4909
zibb,p3,a1,b075,0.3,268,2397,2522
zibb,p3,a1,b075,0.35,239,161,315
zibb,p3,a1,b075,0.4,209,122,306
zibb,p3,a1,b075,0.45,202,121,312
zibb,p3,a1,b075,0.5,168,69,294
zibb,p3,a1,b075,0.55,162,69,300
zibb,p3,a1,b075,0.6,130,39,302
zibb,p3,a1,b075,0.65,123,39,309
zibb,p3,a1,b075,0.7,121,38,310
zibb,p3,a1,b075,0.75,107,14,300
zibb,p3,a1,b075,0.8,90,1,304
zibb,p3,a1,b075,0.85,70,0,323
zibb,p3,a1,b075,0.9,32,0,361
zibb,p3,a1,b075,0.95,0,0,393
zibb,p3,a1,b075,1.0,0,0,393
zibb,p3,a1,b1,0.0,385,10485,10493
zibb,p3,a1,b1,0.05,385,10485,10493
zibb,p3,a1,b1,0.1,385,10485,10493
zibb,p3,a1,b1,0.15,375,10345,10363
zibb,p3,a1,b1,0.2,343,8607,8657
zibb,p3,a1,b1,0.25,325,7129,7197
zibb,p3,a1,b1,0.3,288,4819,4924
zibb,p3,a1,b1,0.35,262,2402,2533
zibb,p3,a1,b1,0.4,242,2375,2526
zibb,p3,a1,b1,0.45,205,126,314
zibb,p3,a1,b1,0.5,186,78,285
zibb,p3,a1,b1,0.55,167,71,297
zibb,p3,a1,b1,0.6,146,44,291
zibb,p3,a1,b1,0.65,143,44,294
zibb,p3,a1,b1,0.7,136,43,300
zibb,p3,a1,b1,0.75,123,22,292
zibb,p3,a1,b1,0.8,119,22,296
zibb,p3,a1,b1,0.85,100,6,299
zibb,p3,a1,b1,0.9,34,0,359
zibb,p3,a1,b1,0.95,0,0,393
zibb,p3,a1,b1,1.0,0,0,393
zibb,p3,a1,b2,0.0,385,10485,10493
zibb,p3,a1,b2,0.05,385,10485,10493
zibb,p3,a1,b2,0.1,385,10485,10493
zibb,p3,a1,b2,0.15,385,10485,10493
zibb,p3,a1,b2,0.2,385,10485,10493
zibb,p3,a1,b2,0.25,380,10350,10363
zibb,p3,a1,b2,0.3,368,9602,9627
zibb,p3,a1,b2,0.35,351,8636,8678
zibb,p3,a1,b2,0.4,329,7156,7220
zibb,p3,a1,b2,0.45,295,4844,4942
zibb,p3,a1,b2,0.5,280,4773,4886
zibb,p3,a1,b2,0.55,277,4771,4887
zibb,p3,a1,b2,0.6,270,2567,2690
zibb,p3,a1,b2,0.65,270,2567,2690
zibb,p3,a1,b2,0.7,270,2567,2690
zibb,p3,a1,b2,0.75,270,2567,2690
zibb,p3,a1,b2,0.8,270,2567,2690
zibb,p3,a1,b2,0.85,260,2539,2672
zibb,p3,a1,b2,0.9,127,15,281
zibb,p3,a1,b2,0.95,0,0,393
zibb,p3,a1,b2,1.0,0,0,393
zibb,p3,a1,b3,0.0,385,10485,10493
zibb,p3,a1,b3,0.05,385,10485,10493
zibb,p3,a1,b3,0.1,385,10485,10493
zibb,p3,a1,b3,0.15,385,10485,10493
zibb,p3,a1,b3,0.2,385,10485,10493
zibb,p3,a1,b3,0.25,385,10485,10493
zibb,p3,a1,b3,0.3,382,10457,10468
zibb,p3,a1,b3,0.35,373,10108,10128
zibb,p3,a1,b3,0.4,367,9603,9629
zibb,p3,a1,b3,0.45,339,8622,8676
zibb,p3,a1,b3,0.5,336,8571,8628
zibb,p3,a1,b3,0.55,336,8571,8628
zibb,p3,a1,b3,0.6,336,8571,8628
zibb,p3,a1,b3,0.65,336,8571,8628
zibb,p3,a1,b3,0.7,329,6390,6454
zibb,p3,a1,b3,0.75,329,6390,6454
zibb,p3,a1,b3,0.8,329,6390,6454
zibb,p3,a1,b3,0.85,329,6390,6454
zibb,p3,a1,b3,0.9,232,1549,1710
zibb,p3,a1,b3,0.95,0,0,393
zibb,p3,a1,b3,1.0,0,0,393
zibb,p3,a2,b075,0.0,385,10485,10493
zibb,p3,a2,b075,0.05,385,10485,10493
zibb,p3,a2,b075,0.1,376,10345,10362
zibb,p3,a2,b075,0.15,352,8621,8662
zibb,p3,a2,b075,0.2,320,4848,4921
zibb,p3,a2,b075,0.25,293,2435,2535
zibb,p3,a2,b075,0.3,247,170,316
zibb,p3,a2,b075,0.35,224,128,297
zibb,p3,a2,b075,0.4,185,77,285
zibb,p3,a2,b075,0.45,160,71,304
zibb,p3,a2,b075,0.5,119,27,301
zibb,p3,a2,b075,0.55,105,27,315
zibb,p3,a2,b075,0.6,67,1,327
zibb,p3,a2,b075,0.65,51,1,343
zibb,p3,a2,b075,0.7,33,0,360
zibb,p3,a2,b075,0.75,25,0,368
zibb,p3,a2,b075,0.8,15,0,378
zibb,p3,a2,b075,0.85,2,0,391
zibb,p3,a2,b075,0.9,0,0,393
zibb,p3,a2,b075,0.95,0,0,393
zibb,p3,a2,b075,1.0,0,0,393
zibb,p3,a2,b1,0.0,385,10485,10493
zibb,p3,a2,b1,0.05,385,10485,10493
zibb,p3,a2,b1,0.1,385,10485,10493
zibb,p3,a2,b1,0.15,368,10098,10123
zibb,p3,a2,b1,0.2,338,7145,7200
zibb,p3,a2,b1,0.25,310,4842,4925
zibb,p3,a2,b1,0.3,271,2411,2533
zibb,p3,a2,b1,0.35,241,170,322
zibb,p3,a2,b1,0.4,213,129,309
zibb,p3,a2,b1,0.45,181,79,291
zibb,p3,a2,b1,0.5,141,31,283
zibb,p3,a2,b1,0.55,108,28,313
zibb,p3,a2,b1,0.6,77,1,317
zibb,p3,a2,b1,0.65,74,1,320
zibb,p3,a2,b1,0.7,49,0,344
zibb,p3,a2,b1,0.75,29,0,364
zibb,p3,a2,b1,0.8,19,0,374
zibb,p3,a2,b1,0.85,4,0,389
zibb,p3,a2,b1,0.9,0,0,393
zibb,p3,a2,b1,0.95,0,0,393
zibb,p3,a2,b1,1.0,0,0,393
zibb,p3,a2,b2,0.0,385,10485,10493
zibb,p3,a2,b2,0.05,385,10485,10493
zibb,p3,a2,b2,0.1,385,10485,10493
zibb,p3,a2,b2,0.15,385,10485,10493
zibb,p3,a2,b2,0.2,383,10480,10490
zibb,p3,a2,b2,0.25,367,10100,10126
zibb,p3,a2,b2,0.3,345,8617,8665
zibb,p3,a2,b2,0.35,317,7128,7204
zibb,p3,a2,b2,0.4,280,4814,4927
zibb,p3,a2,b2,0.45,240,2386,2539
zibb,p3,a2,b2,0.5,206,129,316
zibb,p3,a2,b2,0.55,165,71,299
zibb,p3,a2,b2,0.6,130,32,295
zibb,p3,a2,b2,0.65,119,32,306
zibb,p3,a2,b2,0.7,103,10,300
zibb,p3,a2,b2,0.75,69,2,326
zibb,p3,a2,b2,0.8,50,0,343
zibb,p3,a2,b2,0.85,22,0,371
zibb,p3,a2,b2,0.9,0,0,393
zibb,p3,a2,b2,0.95,0,0,393
zibb,p3,a2,b2,1.0,0,0,393
zibb,p3,a2,b3,0.0,385,10485,10493
zibb,p3,a2,b3,0.05,385,10485,10493
zibb,p3,a2,b3,0.1,385,10485,10493
zibb,p3,a2,b3,0.15,385,10485,10493
zibb,p3,a2,b3,0.2,385,10485,10493
zibb,p3,a2,b3,0.25,385,10485,10493
zibb,p3,a2,b3,0.3,380,10350,10363
zibb,p3,a2,b3,0.35,368,9602,9627
zibb,p3,a2,b3,0.4,351,8636,8678
zibb,p3,a2,b3,0.45,313,7129,7209
zibb,p3,a2,b3,0.5,307,6125,6211
zibb,p3,a2,b3,0.55,301,6090,6182
zibb,p3,a2,b3,0.6,294,3898,3997
zibb,p3,a2,b3,0.65,294,3898,3997
zibb,p3,a2,b3,0.7,294,3898,3997
zibb,p3,a2,b3,0.75,284,3858,3967
zibb,p3,a2,b3,0.8,249,1452,1596
zibb,p3,a2,b3,0.85,138,44,299
zibb,p3,a2,b3,0.9,0,0,393
zibb,p3,a2,b3,0.95,0,0,393
zibb,p3,a2,b3,1.0,0,0,393
zibb,p3,a3,b075,0.0,385,10485,10493
zibb,p3,a3,b075,0.05,385,10485,10493
zibb,p3,a3,b075,0.1,367,10098,10124
zibb,p3,a3,b075,0.15,339,7149,7203
zibb,p3,a3,b075,0.2,305,2453,2541
zibb,p3,a3,b075,0.25,267,209,335
zibb,p3,a3,b075,0.3,224,131,300
zibb,p3,a3,b075,0.35,193,77,277
zibb,p3,a3,b075,0.4,147,30,276
zibb,p3,a3,b075,0.45,121,26,298
zibb,p3,a3,b075,0.5,77,1,317
zibb,p3,a3,b075,0.55,60,1,334
zibb,p3,a3,b075,0.6,31,0,362
zibb,p3,a3,b075,0.65,20,0,373
zibb,p3,a3,b075,0.7,10,0,383
zibb,p3,a3,b075,0.75,4,0,389
zibb,p3,a3,b075,0.8,0,0,393
zibb,p3,a3,b075,0.85,0,0,393
zibb,p3,a3,b075,0.9,0,0,393
zibb,p3,a3,b075,0.95,0,0,393
zibb,p3,a3,b075,1.0,0,0,393
zibb,p3,a3,b1,0.0,385,10485,10493
zibb,p3,a3,b1,0.05,385,10485,10493
zibb,p3,a3,b1,0.1,382,10480,10491
zibb,p3,a3,b1,0.15,363,9592,9622
zibb,p3,a3,b1,0.2,324,4860,4929
zibb,p3,a3,b1,0.25,295,2443,2541
zibb,p3,a3,b1,0.3,246,174,321
zibb,p3,a3,b1,0.35,214,131,310
zibb,p3,a3,b1,0.4,186,75,282
zibb,p3,a3,b1,0.45,139,29,283
zibb,p3,a3,b1,0.5,97,3,299
zibb,p3,a3,b1,0.55,60,1,334
zibb,p3,a3,b1,0.6,30,0,363
zibb,p3,a3,b1,0.65,22,0,371
zibb,p3,a3,b1,0.7,16,0,377
zibb,p3,a3,b1,0.75,4,0,389
zibb,p3,a3,b1,0.8,0,0,393
zibb,p3,a3,b1,0.85,0,0,393
zibb,p3,a3,b1,0.9,0,0,393
zibb,p3,a3,b1,0.95,0,0,393
zibb,p3,a3,b1,1.0,0,0,393
zibb,p3,a3,b2,0.0,385,10485,10493
zibb,p3,a3,b2,0.05,385,10485,10493
zibb,p3,a3,b2,0.1,385,10485,10493
zibb,p3,a3,b2,0.15,385,10485,10493
zibb,p3,a3,b2,0.2,381,10457,10469
zibb,p3,a3,b2,0.25,360,9593,9626
zibb,p3,a3,b2,0.3,330,7154,7217
zibb,p3,a3,b2,0.35,287,4822,4928
zibb,p3,a3,b2,0.4,255,2389,2527
zibb,p3,a3,b2,0.45,208,129,314
zibb,p3,a3,b2,0.5,165,70,298
zibb,p3,a3,b2,0.55,113,25,305
zibb,p3,a3,b2,0.6,66,1,328
zibb,p3,a3,b2,0.65,48,1,346
zibb,p3,a3,b2,0.7,31,0,362
zibb,p3,a3,b2,0.75,10,0,383
zibb,p3,a3,b2,0.8,2,0,391
zibb,p3,a3,b2,0.85,0,0,393
zibb,p3,a3,b2,0.9,0,0,393
zibb,p3,a3,b2,0.95,0,0,393
zibb,p3,a3,b2,1.0,0,0,393
zibb,p3,a3,b3,0.0,385,10485,10493
zibb,p3,a3,b3,0.05,385,10485,10493
zibb,p3,a3,b3,0.1,385,10485,10493
zibb,p3,a3,b3,0.15,385,10485,10493
zibb,p3,a3,b3,0.2,385,10485,10493
zibb,p3,a3,b3,0.25,382,10480,10491
zibb,p3,a3,b3,0.3,367,10102,10128
zibb,p3,a3,b3,0.35,348,8625,8670
zibb,p3,a3,b3,0.4,319,7136,7210
zibb,p3,a3,b3,0.45,263,4788,4918
zibb,p3,a3,b3,0.5,224,2345,2514
zibb,p3,a3,b3,0.55,172,73,294
zibb,p3,a3,b3,0.6,123,31,301
zibb,p3,a3,b3,0.65,102,28,319
zibb,p3,a3,b3,0.7,75,5,323
zibb,p3,a3,b3,0.75,38,0,355
zibb,p3,a3,b3,0.8,17,0,376
zibb,p3,a3,b3,0.85,2,0,391
zibb,p3,a3,b3,0.9,0,0,393
zibb,p3,a3,b3,0.95,0,0,393
zibb,p3,a3,b3,1.0,0,0,393
zibb,p4,a05,b075,0.0,385,10485,10493
zibb,p4,a05,b075,0.05,385,10485,10493
zibb,p4,a05,b075,0.1,385,10485,10493
zibb,p4,a05,b075,0.15,364,10092,10121
zibb,p4,a05,b075,0.2,343,8595,8645
zibb,p4,a05,b075,0.25,329,7113,7177
zibb,p4,a05,b075,0.3,304,4807,4896
zibb,p4,a05,b075,0.35,276,2388,2505
zibb,p4,a05,b075,0.4,256,2366,2503
zibb,p4,a05,b075,0.45,255,2366,2504
zibb,p4,a05,b075,0.5,224,126,295
zibb,p4,a05,b075,0.55,213,96,276
zibb,p4,a05,b075,0.6,204,92,281
zibb,p4,a05,b075,0.65,200,92,285
zibb,p4,a05,b075,0.7,198,88,283
zibb,p4,a05,b075,0.75,197,88,284
zibb,p4,a05,b075,0.8,196,88,285
zibb,p4,a05,b075,0.85,195,88,286
zibb,p4,a05,b075,0.9,185,64,272
zibb,p4,a05,b075,0.95,89,2,306
zibb,p4,a05,b075,1.0,0,0,393
zibb,p4,a05,b1,0.0,385,10485,10493
zibb,p4,a05,b1,0.05,385,10485,10493
zibb,p4,a05,b1,0.1,385,10485,10493
zibb,p4,a05,b1,0.15,381,10457,10469
zibb,p4,a05,b1,0.2,364,10095,10124
zibb,p4,a05,b1,0.25,344,8602,8651
zibb,p4,a05,b1,0.3,331,7126,7188
zibb,p4,a05,b1,0.35,301,4816,4908
zibb,p4,a05,b1,0.4,278,2412,2527
zibb,p4,a05,b1,0.45,261,2387,2519
zibb,p4,a05,b1,0.5,236,2352,2509
zibb,p4,a05,b1,0.55,222,141,312
zibb,p4,a05,b1,0.6,213,117,297
zibb,p4,a05,b1,0.65,212,117,298
zibb,p4,a05,b1,0.7,211,117,299
zibb,p4,a05,b1,0.75,211,117,299
zibb,p4,a05,b1,0.8,211,117,299
zibb,p4,a05,b1,0.85,211,117,299
zibb,p4,a05,b1,0.9,201,96,288
zibb,p4,a05,b1,0.95,96,4,301
zibb,p4,a05,b1,1.0,0,0,393
zibb,p4,a05,b2,0.0,385,10485,10493
zibb,p4,a05,b2,0.05,385,10485,10493
zibb,p4,a05,b2,0.1,385,10485,10493
zibb,p4,a05,b2,0.15,385,10485,10493
zibb,p4,a05,b2,0.2,385,10485,10493
zibb,p4,a05,b2,0.25,383,10480,10490
zibb,p4,a05,b2,0.3,380,10350,10363
zibb,p4,a05,b2,0.35,368,9603,9628
zibb,p4,a05,b2,0.4,351,8638,8680
zibb,p4,a05,b2,0.45,329,7157,7221
zibb,p4,a05,b2,0.5,324,7155,7224
zibb,p4,a05,b2,0.55,324,7155,7224
zibb,p4,a05,b2,0.6,324,7155,7224
zibb,p4,a05,b2,0.65,324,7155,7224
zibb,p4,a05,b2,0.7,317,4971,5047
zibb,p4,a05,b2,0.75,317,4971,5047
zibb,p4,a05,b2,0.8,317,4971,5047
zibb,p4,a05,b2,0.85,317,4971,5047
zibb,p4,a05,b2,0.9,317,4971,5047
zibb,p4,a05,b2,0.95,220,133,306
zibb,p4,a05,b2,1.0,0,0,393
zibb,p4,a05,b3,0.0,385,10485,10493
zibb,p4,a05,b3,0.05,385,10485,10493
zibb,p4,a05,b3,0.1,385,10485,10493
zibb,p4,a05,b3,0.15,385,10485,10493
zibb,p4,a05,b3,0.2,385,10485,10493
zibb,p4,a05,b3,0.25,385,10485,10493
zibb,p4,a05,b3,0.3,385,10485,10493
zibb,p4,a05,b3,0.35,382,10457,10468
zibb,p4,a05,b3,0.4,373,10108,10128
zibb,p4,a05,b3,0.45,367,9603,9629
zibb,p4,a05,b3,0.5,364,9598,9627
zibb,p4,a05,b3,0.55,364,9598,9627
zibb,p4,a05,b3,0.6,364,9598,9627
zibb,p4,a05,b3,0.65,364,9598,9627
zibb,p4,a05,b3,0.7,364,9598,9627
zibb,p4,a05,b3,0.75,364,9598,9627
zibb,p4,a05,b3,0.8,357,7407,7443
zibb,p4,a05,b3,0.85,357,7407,7443
zibb,p4,a05,b3,0.9,357,7407,7443
zibb,p4,a05,b3,0.95,312,4927,5008
zibb,p4,a05,b3,1.0,0,0,393
zibb,p4,a075,b075,0.0,385,10485,10493
zibb,p4,a075,b075,0.05,385,10485,10493
zibb,p4,a075,b075,0.1,385,10485,10493
zibb,p4,a075,b075,0.15,366,10094,10121
zibb,p4,a075,b075,0.2,346,8599,8646
zibb,p4,a075,b075,0.25,310,4808,4891
zibb,p4,a075,b075,0.3,305,4805,4893
zibb,p4,a075,b075,0.35,274,2382,2501
zibb,p4,a075,b075,0.4,254,2361,2500
zibb,p4,a075,b075,0.45,224,123,292
zibb,p4,a075,b075,0.5,219,122,296
zibb,p4,a075,b075,0.55,202,79,270
zibb,p4,a075,b075,0.6,197,79,275
zibb,p4,a075,b075,0.65,188,61,266
zibb,p4,a075,b075,0.7,185,61,269
zibb,p4,a075,b075,0.75,184,60,269
zibb,p4,a075,b075,0.8,173,37,257
zibb,p4,a075,b075,0.85,173,37,257
zibb,p4,a075,b075,0.9,122,4,275
zibb,p4,a075,b075,0.95,12,0,381
zibb,p4,a075,b075,1.0,0,0,393
zibb,p4,a075,b1,0.0,385,10485,10493
zibb,p4,a075,b1,0.05,385,10485,10493
zibb,p4,a075,b1,0.1,385,10485,10493
zibb,p4,a075,b1,0.15,381,10457,10469
zibb,p4,a075,b1,0.2,355,9575,9613
zibb,p4,a075,b1,0.25,344,8600,8649
zibb,p4,a075,b1,0.3,328,7124,7189
zibb,p4,a075,b1,0.35,297,4814,4910
zibb,p4,a075,b1,0.4,276,2407,2524
zibb,p4,a075,b1,0.45,258,2382,2517
zibb,p4,a075,b1,0.5,226,134,301
zibb,p4,a075,b1,0.55,213,100,280
zibb,p4,a075,b1,0.6,204,96,285
zibb,p4,a075,b1,0.65,199,96,290
zibb,p4,a075,b1,0.7,197,86,282
zibb,p4,a075,b1,0.75,197,84,280
zibb,p4,a075,b1,0.8,196,84,281
zibb,p4,a075,b1,0.85,186,61,268
zibb,p4,a075,b1,0.9,130,7,270
zibb,p4,a075,b1,0.95,14,0,379
zibb,p4,a075,b1,1.0,0,0,393
zibb,p4,a075,b2,0.0,385,10485,10493
zibb,p4,a075,b2,0.05,385,10485,10493
zibb,p4,a075,b2,0.1,385,10485,10493
zibb,p4,a075,b2,0.15,385,10485,10493
zibb,p4,a075,b2,0.2,385,10485,10493
zibb,p4,a075,b2,0.25,383,10480,10490
zibb,p4,a075,b2,0.3,380,10350,10363
zibb,p4,a075,b2,0.35,368,9602,9627
zibb,p4,a075,b2,0.4,351,8638,8680
zibb,p4,a075,b2,0.45,329,7157,7221
